src_ip,dst_ip,src_port,dst_port,protocol,duration_sec,total_bytes,packet_count,bytes_per_sec
192.168.18.20,20.205.243.168,45062,443,TCP,5.88,10898,26,1853.56
127.0.0.1,127.0.0.53,35186,53,UDP,0.00,100,1,1000.0
127.0.0.53,127.0.0.1,53,36882,UDP,0.00,107,1,1070.0
127.0.0.53,127.0.0.1,53,35186,UDP,0.00,164,1,1640.0
192.168.18.20,185.199.110.154,48438,443,TCP,0.55,7157,50,13052.86
192.168.18.1,192.168.18.20,53,40726,UDP,0.00,185,1,1850.0
127.0.0.53,127.0.0.1,53,57577,UDP,0.00,182,1,1820.0
192.168.18.1,192.168.18.20,53,41381,UDP,0.00,171,1,1710.0
127.0.0.53,127.0.0.1,53,56707,UDP,0.00,171,1,1710.0
192.168.18.1,192.168.18.20,53,59726,UDP,0.00,195,1,1950.0
127.0.0.53,127.0.0.1,53,36074,UDP,0.00,192,1,1920.0
185.199.110.154,192.168.18.20,443,48438,TCP,0.51,71838,54,141730.33
20.205.243.168,192.168.18.20,443,45062,TCP,5.78,8024,22,1387.75
140.82.113.25,192.168.18.20,443,34638,TCP,1.46,483,5,331.02
127.0.0.1,127.0.0.53,48367,53,UDP,0.00,186,2,1860.0
127.0.0.1,127.0.0.53,49648,53,UDP,0.00,186,2,1860.0
192.168.18.20,192.168.18.1,52036,53,UDP,0.00,93,1,930.0
192.168.18.20,192.168.18.1,60506,53,UDP,0.00,93,1,930.0
192.168.18.20,140.82.112.25,56338,443,TCP,7.47,4956,11,663.25
192.168.18.1,192.168.18.20,53,52036,UDP,0.00,128,1,1280.0
127.0.0.53,127.0.0.1,53,49648,UDP,0.00,324,2,3240.0
127.0.0.53,127.0.0.1,53,48367,UDP,0.00,324,2,3240.0
192.168.18.1,192.168.18.20,53,60506,UDP,0.00,199,1,1990.0
192.168.18.20,192.168.18.1,34936,53,UDP,0.00,92,1,920.0
192.168.18.1,192.168.18.20,53,34936,UDP,0.00,92,1,920.0
127.0.0.1,127.0.0.53,52649,53,UDP,0.00,194,2,1940.0
192.168.18.20,192.168.18.1,54718,53,UDP,0.00,97,1,970.0
192.168.18.20,192.168.18.1,54392,53,UDP,0.00,97,1,970.0
127.0.0.1,127.0.0.53,36445,53,UDP,0.00,97,1,970.0
192.168.18.20,140.82.112.21,54358,443,TCP,1.27,7945,16,6236.98
192.168.18.1,192.168.18.20,53,54718,UDP,0.00,146,1,1460.0
127.0.0.53,127.0.0.1,53,52649,UDP,0.00,360,2,3600.0
127.0.0.53,127.0.0.1,53,36445,UDP,0.00,146,1,1460.0
192.168.18.1,192.168.18.20,53,54392,UDP,0.00,217,1,2170.0
192.168.18.20,192.168.18.1,55338,53,UDP,0.00,106,1,1060.0
192.168.18.1,192.168.18.20,53,55338,UDP,0.00,106,1,1060.0
127.0.0.1,127.0.0.53,40108,53,UDP,0.00,93,1,930.0
192.168.18.20,140.82.112.25,56346,443,TCP,1.83,3176,15,1740.03
127.0.0.53,127.0.0.1,53,40108,UDP,0.00,212,1,2120.0
192.168.18.20,140.82.113.21,48840,443,TCP,2.02,11792,22,5825.28
140.82.112.21,192.168.18.20,443,54358,TCP,1.31,8802,19,6712.40
140.82.113.21,192.168.18.20,443,48840,TCP,1.64,7700,18,4688.71
140.82.112.25,192.168.18.20,443,56338,TCP,6.63,4564,10,688.33
140.82.112.25,192.168.18.20,443,56346,TCP,1.20,5883,11,4884.05
140.82.113.22,192.168.18.20,443,35924,TCP,0.01,168,2,1680.0
192.168.18.20,140.82.113.22,35924,443,TCP,0.00,72,1,720.0
127.0.0.1,127.0.0.53,41399,53,UDP,0.00,200,2,2000.0
127.0.0.53,127.0.0.1,53,41399,UDP,0.00,568,2,5680.0
192.168.18.1,192.168.18.20,53,39958,UDP,0.00,185,1,1850.0
127.0.0.1,127.0.0.53,43587,53,UDP,0.00,176,2,1760.0
192.168.18.20,192.168.18.1,50292,53,UDP,0.00,88,1,880.0
192.168.18.20,192.168.18.1,54768,53,UDP,0.00,88,1,880.0
127.0.0.1,127.0.0.53,51632,53,UDP,0.00,184,2,1840.0
127.0.0.53,127.0.0.1,53,51632,UDP,0.00,732,2,7320.0
192.168.18.1,192.168.18.20,53,50292,UDP,0.00,264,1,2640.0
127.0.0.53,127.0.0.1,53,43587,UDP,0.00,464,2,4640.0
192.168.18.1,192.168.18.20,53,54768,UDP,0.00,200,1,2000.0
127.0.0.1,127.0.0.53,44964,53,UDP,0.00,194,2,1940.0
192.168.18.20,192.168.18.1,51135,53,UDP,0.00,97,1,970.0
192.168.18.20,192.168.18.1,37733,53,UDP,0.00,97,1,970.0
192.168.18.1,192.168.18.20,53,51135,UDP,0.00,113,1,1130.0
127.0.0.53,127.0.0.1,53,44964,UDP,0.00,238,2,2380.0
192.168.18.1,192.168.18.20,53,37733,UDP,0.00,125,1,1250.0
127.0.0.1,127.0.0.53,50484,53,UDP,0.00,188,2,1880.0
192.168.18.20,192.168.18.1,43206,53,UDP,0.00,94,1,940.0
192.168.18.20,192.168.18.1,60717,53,UDP,0.00,94,1,940.0
192.168.18.1,192.168.18.20,53,43206,UDP,0.00,110,1,1100.0
127.0.0.53,127.0.0.1,53,50484,UDP,0.01,232,2,2320.0
192.168.18.1,192.168.18.20,53,60717,UDP,0.00,122,1,1220.0
127.0.0.1,127.0.0.53,54626,53,UDP,0.00,208,2,2080.0
192.168.18.20,192.168.18.1,58396,53,UDP,0.00,104,1,1040.0
192.168.18.20,192.168.18.1,54318,53,UDP,0.00,104,1,1040.0
192.168.18.1,192.168.18.20,53,54318,UDP,0.00,132,1,1320.0
127.0.0.53,127.0.0.1,53,54626,UDP,0.00,252,2,2520.0
192.168.18.1,192.168.18.20,53,58396,UDP,0.00,120,1,1200.0
127.0.0.1,127.0.0.53,39717,53,UDP,0.00,182,2,1820.0
127.0.0.53,127.0.0.1,53,39717,UDP,0.00,226,2,2260.0
127.0.0.1,127.0.0.53,51891,53,UDP,0.00,220,2,2200.0
192.168.18.20,192.168.18.1,35797,53,UDP,0.00,110,1,1100.0
192.168.18.20,192.168.18.1,46159,53,UDP,0.00,110,1,1100.0
192.168.18.1,192.168.18.20,53,35797,UDP,0.00,156,1,1560.0
127.0.0.53,127.0.0.1,53,51891,UDP,0.00,324,2,3240.0
192.168.18.1,192.168.18.20,53,46159,UDP,0.00,168,1,1680.0
127.0.0.1,127.0.0.53,34218,53,UDP,0.00,184,2,1840.0
192.168.18.20,192.168.18.1,57078,53,UDP,0.00,92,1,920.0
192.168.18.20,192.168.18.1,33761,53,UDP,0.00,92,1,920.0
192.168.18.20,173.194.57.106,51096,443,TCP,1.10,4293,12,3912.18
192.168.18.20,173.194.57.106,51112,443,TCP,1.15,4309,12,3733.92
192.168.18.1,192.168.18.20,53,33761,UDP,0.00,148,1,1480.0
127.0.0.53,127.0.0.1,53,34218,UDP,0.00,272,2,2720.0
192.168.18.1,192.168.18.20,53,57078,UDP,0.00,124,1,1240.0
173.194.57.106,192.168.18.20,443,51096,TCP,1.10,6756,13,6145.34
173.194.57.106,192.168.18.20,443,51112,TCP,1.16,6743,13,5819.15
127.0.0.1,127.0.0.53,47355,53,UDP,0.00,188,2,1880.0
192.168.18.20,192.168.18.1,51709,53,UDP,0.00,94,1,940.0
192.168.18.20,192.168.18.1,46022,53,UDP,0.00,94,1,940.0
192.168.18.1,192.168.18.20,53,51709,UDP,0.00,110,1,1100.0
127.0.0.53,127.0.0.1,53,47355,UDP,0.00,232,2,2320.0
192.168.18.1,192.168.18.20,53,46022,UDP,0.00,122,1,1220.0
127.0.0.1,127.0.0.53,46410,53,UDP,0.00,180,2,1800.0
192.168.18.20,192.168.18.1,41179,53,UDP,0.00,90,1,900.0
192.168.18.20,192.168.18.1,46226,53,UDP,0.00,90,1,900.0
192.168.18.1,192.168.18.20,53,41179,UDP,0.00,250,1,2500.0
127.0.0.53,127.0.0.1,53,46410,UDP,0.00,452,2,4520.0
192.168.18.1,192.168.18.20,53,46226,UDP,0.00,202,1,2020.0
127.0.0.1,127.0.0.53,47427,53,UDP,0.00,186,2,1860.0
192.168.18.20,192.168.18.1,46142,53,UDP,0.00,93,1,930.0
192.168.18.20,192.168.18.1,54092,53,UDP,0.00,93,1,930.0
192.168.18.1,192.168.18.20,53,46142,UDP,0.00,125,1,1250.0
127.0.0.53,127.0.0.1,53,47427,UDP,0.02,274,2,2740.0
192.168.18.1,192.168.18.20,53,54092,UDP,0.00,149,1,1490.0
127.0.0.1,127.0.0.53,32863,53,UDP,0.02,176,2,1760.0
192.168.18.20,192.168.18.1,43758,53,UDP,0.00,88,1,880.0
192.168.18.1,192.168.18.20,53,43758,UDP,0.00,104,1,1040.0
127.0.0.53,127.0.0.1,53,32863,UDP,0.01,220,2,2200.0
192.168.18.20,192.168.18.1,41996,53,UDP,0.00,88,1,880.0
192.168.18.1,192.168.18.20,53,41996,UDP,0.00,116,1,1160.0
127.0.0.1,127.0.0.53,33820,53,UDP,0.00,194,2,1940.0
192.168.18.20,192.168.18.1,56139,53,UDP,0.00,97,1,970.0
192.168.18.20,192.168.18.1,45284,53,UDP,0.00,97,1,970.0
192.168.18.1,192.168.18.20,53,56139,UDP,0.00,141,1,1410.0
127.0.0.53,127.0.0.1,53,33820,UDP,0.00,294,2,2940.0
192.168.18.1,192.168.18.20,53,45284,UDP,0.00,153,1,1530.0
127.0.0.1,127.0.0.53,43210,53,UDP,0.00,184,2,1840.0
192.168.18.20,192.168.18.1,54682,53,UDP,0.00,92,1,920.0
192.168.18.20,192.168.18.1,60039,53,UDP,0.00,92,1,920.0
192.168.18.1,192.168.18.20,53,54682,UDP,0.00,108,1,1080.0
127.0.0.53,127.0.0.1,53,43210,UDP,0.00,228,2,2280.0
192.168.18.1,192.168.18.20,53,60039,UDP,0.00,120,1,1200.0
127.0.0.1,127.0.0.53,39410,53,UDP,0.00,198,2,1980.0
192.168.18.20,192.168.18.1,34101,53,UDP,0.00,99,1,990.0
192.168.18.20,192.168.18.1,50899,53,UDP,0.00,99,1,990.0
192.168.18.1,192.168.18.20,53,34101,UDP,0.00,115,1,1150.0
127.0.0.53,127.0.0.1,53,39410,UDP,0.00,242,2,2420.0
192.168.18.1,192.168.18.20,53,50899,UDP,0.00,127,1,1270.0
127.0.0.1,127.0.0.53,59162,53,UDP,0.00,184,2,1840.0
127.0.0.53,127.0.0.1,53,59162,UDP,0.00,228,2,2280.0
127.0.0.1,127.0.0.53,37203,53,UDP,0.00,224,2,2240.0
192.168.18.20,192.168.18.1,58755,53,UDP,0.00,112,1,1120.0
192.168.18.20,192.168.18.1,59731,53,UDP,0.00,112,1,1120.0
192.168.18.1,192.168.18.20,53,58755,UDP,0.00,128,1,1280.0
192.168.18.1,192.168.18.20,53,59731,UDP,0.00,140,1,1400.0
127.0.0.53,127.0.0.1,53,37203,UDP,0.00,268,2,2680.0
192.168.18.187,224.0.0.251,5353,5353,UDP,4.00,474,3,118.52
127.0.0.1,127.0.0.53,45384,53,UDP,0.02,234,2,2340.0
192.168.18.20,192.168.18.1,51056,53,UDP,0.00,117,1,1170.0
192.168.18.1,192.168.18.20,53,51056,UDP,0.00,170,1,1700.0
127.0.0.53,127.0.0.1,53,45384,UDP,0.01,368,2,3680.0
192.168.18.20,192.168.18.1,51346,53,UDP,0.00,115,1,1150.0
192.168.18.1,192.168.18.20,53,51346,UDP,0.00,143,1,1430.0
127.0.0.1,127.0.0.53,35666,53,UDP,0.00,184,2,1840.0
127.0.0.53,127.0.0.1,53,35666,UDP,0.00,732,2,7320.0
127.0.0.1,127.0.0.53,51868,53,UDP,0.00,234,2,2340.0
192.168.18.20,192.168.18.1,50905,53,UDP,0.00,117,1,1170.0
192.168.18.20,192.168.18.1,39131,53,UDP,0.00,117,1,1170.0
192.168.18.1,192.168.18.20,53,50905,UDP,0.00,170,1,1700.0
127.0.0.53,127.0.0.1,53,51868,UDP,0.00,352,2,3520.0
192.168.18.1,192.168.18.20,53,39131,UDP,0.00,182,1,1820.0
