src_ip,dst_ip,src_port,dst_port,protocol,duration_sec,total_bytes,packet_count,bytes_per_sec,total_gb,hour,direction,size_category,is_peak_hour,destination_type,cost_urgency,traffic_type,is_peak,cost_nrs
192.168.18.20,140.82.113.25,34638,443,TCP,1.81,722000000,7,398895027.62430936,0.6724148988723755,14,UPLOAD,MEDIUM,True,SERVICE,False,INTERNET_EGRESS,True,75.6467
127.0.0.1,127.0.0.53,57577,53,UDP,0.0,100000000,1,1000000000.0,0.09313225746154785,3,DOWNLOAD,SMALL,False,INTERNAL,False,OTHER,False,0.9313
127.0.0.1,127.0.0.53,55033,53,UDP,5.01,400000000,4,79840319.36127745,0.3725290298461914,14,DOWNLOAD,MEDIUM,True,INTERNAL,False,OTHER,True,5.5879
192.168.18.20,192.168.18.1,40726,53,UDP,0.0,100000000,1,1000000000.0,0.09313225746154785,3,INTERNAL,SMALL,False,INTERNAL,False,INTERNAL,False,0.0
127.0.0.53,127.0.0.1,53,55033,UDP,5.02,510000000,3,101593625.49800798,0.47497451305389404,14,DOWNLOAD,MEDIUM,True,INTERNAL,False,OTHER,True,7.1246
192.168.18.20,192.168.18.1,39958,53,UDP,5.0,200000000,2,40000000.0,0.1862645149230957,3,INTERNAL,MEDIUM,False,INTERNAL,False,INTERNAL,False,0.0
127.0.0.1,127.0.0.53,56707,53,UDP,0.0,106000000,1,1060000000.0,0.09872019290924072,14,DOWNLOAD,SMALL,True,INTERNAL,False,OTHER,True,1.4808
127.0.0.1,127.0.0.53,53988,53,UDP,0.0,212000000,2,2120000000.0,0.19744038581848145,3,DOWNLOAD,MEDIUM,False,INTERNAL,False,OTHER,False,1.9744
192.168.18.20,192.168.18.1,41381,53,UDP,0.0,106000000,1,1060000000.0,0.09872019290924072,14,INTERNAL,SMALL,True,INTERNAL,False,INTERNAL,True,0.0
127.0.0.53,127.0.0.1,53,53988,UDP,0.0,388000000,2,3880000000.0,0.36135315895080566,3,DOWNLOAD,MEDIUM,False,INTERNAL,False,OTHER,False,3.6135
127.0.0.1,127.0.0.53,36136,53,UDP,0.0,212000000,2,2120000000.0,0.19744038581848145,14,DOWNLOAD,MEDIUM,True,INTERNAL,False,OTHER,True,2.9616
192.168.18.20,192.168.18.1,57478,53,UDP,0.0,1060000000,1,1060000000.0,0.9872019290924072,3,INTERNAL,MEDIUM,False,INTERNAL,False,INTERNAL,False,0.0
192.168.18.20,192.168.18.1,35286,53,UDP,0.0,106000000,1,1060000000.0,0.09872019290924072,14,INTERNAL,SMALL,True,INTERNAL,False,INTERNAL,True,0.0
192.168.18.1,192.168.18.20,53,57478,UDP,0.0,284000000,1,2840000000.0,0.2644956111907959,3,INTERNAL,MEDIUM,False,INTERNAL,False,INTERNAL,False,0.0
127.0.0.53,127.0.0.1,53,36136,UDP,0.01,518000000,2,5180000000.0,0.48242509365081787,14,DOWNLOAD,MEDIUM,True,INTERNAL,False,OTHER,True,7.2364
192.168.18.1,192.168.18.20,53,35286,UDP,0.0,234000000,1,2340000000.0,0.21792948246002197,3,INTERNAL,MEDIUM,False,INTERNAL,False,INTERNAL,False,0.0
192.168.18.20,192.168.18.1,53948,53,UDP,0.0,105000000,1,1050000000.0,0.09778887033462524,14,INTERNAL,SMALL,True,INTERNAL,False,INTERNAL,True,0.0
192.168.18.1,192.168.18.20,53,53948,UDP,0.0,105000000,1,1050000000.0,0.09778887033462524,3,INTERNAL,SMALL,False,INTERNAL,False,INTERNAL,False,0.0
127.0.0.1,127.0.0.53,53428,53,UDP,0.0,106000000,1,1060000000.0,0.09872019290924072,14,DOWNLOAD,SMALL,True,INTERNAL,False,OTHER,True,1.4808
192.168.18.20,192.168.18.1,49371,53,UDP,0.0,105000000,1,1050000000.0,0.09778887033462524,3,INTERNAL,SMALL,False,INTERNAL,False,INTERNAL,False,0.0
