src_ip,dst_ip,src_port,dst_port,protocol,duration_sec,total_bytes,packet_count,bytes_per_sec,direction,destination_type,cost_category,total_gb
127.0.0.1,127.0.0.53,42880,53,UDP,0.0,220,2,220.0,INTERNAL,INTERNET,OTHER,2.2e-07
127.0.0.53,127.0.0.1,53,42880,UDP,0.0,396,2,396.0,INTERNAL,LOCAL,OTHER,3.96e-07
127.0.0.1,127.0.0.53,36074,53,UDP,0.0,110,1,110.0,INTERNAL,INTERNET,OTHER,1.1e-07
192.168.18.20,192.168.18.1,59726,53,UDP,0.0,110,1,110.0,INTERNAL,INTERNET,OTHER,1.1e-07
127.0.0.1,127.0.0.53,36882,53,UDP,0.0,91,1,91.0,INTERNAL,INTERNET,OTHER,9.1e-08
192.168.18.20,20.205.243.168,45062,443,TCP,5.88,10898,26,1853.56,UPLOAD,CLOUD,CLOUD_EGRESS,1.0898e-05
127.0.0.1,127.0.0.53,35186,53,UDP,0.0,100,1,100.0,INTERNAL,INTERNET,OTHER,1e-07
127.0.0.53,127.0.0.1,53,36882,UDP,0.0,107,1,107.0,INTERNAL,LOCAL,OTHER,1.07e-07
127.0.0.53,127.0.0.1,53,35186,UDP,0.0,164,1,164.0,INTERNAL,LOCAL,OTHER,1.64e-07
192.168.18.20,185.199.110.154,48438,443,TCP,0.55,7157,50,7157.0,UPLOAD,INTERNET,INTERNET_EGRESS,7.157e-06
192.168.18.1,192.168.18.20,53,40726,UDP,0.0,185,1,185.0,INTERNAL,INTERNET,OTHER,1.85e-07
127.0.0.53,127.0.0.1,53,57577,UDP,0.0,182,1,182.0,INTERNAL,LOCAL,OTHER,1.82e-07
192.168.18.1,192.168.18.20,53,41381,UDP,0.0,171,1,171.0,INTERNAL,INTERNET,OTHER,1.71e-07
127.0.0.53,127.0.0.1,53,56707,UDP,0.0,171,1,171.0,INTERNAL,LOCAL,OTHER,1.71e-07
192.168.18.1,192.168.18.20,53,59726,UDP,0.0,195,1,195.0,INTERNAL,INTERNET,OTHER,1.95e-07
127.0.0.53,127.0.0.1,53,36074,UDP,0.0,192,1,192.0,INTERNAL,LOCAL,OTHER,1.92e-07
185.199.110.154,192.168.18.20,443,48438,TCP,0.51,71838,54,71838.0,DOWNLOAD,INTERNET,OTHER,7.1838e-05
20.205.243.168,192.168.18.20,443,45062,TCP,5.78,8024,22,1387.75,DOWNLOAD,INTERNET,OTHER,8.024e-06
140.82.113.25,192.168.18.20,443,34638,TCP,1.46,483,5,331.02,DOWNLOAD,INTERNET,OTHER,4.83e-07
127.0.0.1,127.0.0.53,48367,53,UDP,0.0,186,2,186.0,INTERNAL,INTERNET,OTHER,1.86e-07
127.0.0.1,127.0.0.53,49648,53,UDP,0.0,186,2,186.0,INTERNAL,INTERNET,OTHER,1.86e-07
192.168.18.20,192.168.18.1,52036,53,UDP,0.0,93,1,93.0,INTERNAL,INTERNET,OTHER,9.3e-08
192.168.18.20,192.168.18.1,60506,53,UDP,0.0,93,1,93.0,INTERNAL,INTERNET,OTHER,9.3e-08
192.168.18.20,140.82.112.25,56338,443,TCP,7.47,4956,11,663.25,UPLOAD,INTERNET,INTERNET_EGRESS,4.956e-06
192.168.18.1,192.168.18.20,53,52036,UDP,0.0,128,1,128.0,INTERNAL,INTERNET,OTHER,1.28e-07
127.0.0.53,127.0.0.1,53,49648,UDP,0.0,324,2,324.0,INTERNAL,LOCAL,OTHER,3.24e-07
127.0.0.53,127.0.0.1,53,48367,UDP,0.0,324,2,324.0,INTERNAL,LOCAL,OTHER,3.24e-07
192.168.18.1,192.168.18.20,53,60506,UDP,0.0,199,1,199.0,INTERNAL,INTERNET,OTHER,1.99e-07
