src_ip,dst_ip,src_port,dst_port,protocol,duration_sec,total_bytes,packet_count,bytes_per_sec
127.0.0.1,127.0.0.53,34218,53,UDP,0.0,184000000,2,1840000000.0
192.168.18.20,192.168.18.1,57078,53,UDP,0.0,92000000,1,920000000.0
192.168.18.20,192.168.18.1,33761,53,UDP,0.0,92000000,1,920000000.0
192.168.18.20,173.194.57.106,51096,443,TCP,1.1,4293000000,12,3902727272.7272725
192.168.18.20,173.194.57.106,51112,443,TCP,1.15,4309000000,12,3746956521.7391305
192.168.18.1,192.168.18.20,53,33761,UDP,0.0,148000000,1,1480000000.0
127.0.0.53,127.0.0.1,53,34218,UDP,0.0,2720000000,2,2720000000.0
192.168.18.1,192.168.18.20,53,57078,UDP,0.0,124000000,1,1240000000.0
173.194.57.106,192.168.18.20,443,51096,TCP,1.1,6756000000,13,6141818181.818181
173.194.57.106,192.168.18.20,443,51112,TCP,1.16,6743000000,13,5812931034.482759
127.0.0.1,127.0.0.53,47355,53,UDP,0.0,188000000,2,1880000000.0
192.168.18.20,192.168.18.1,51709,53,UDP,0.0,94000000,1,940000000.0
192.168.18.20,192.168.18.1,46022,53,UDP,0.0,94000000,1,940000000.0
192.168.18.1,192.168.18.20,53,51709,UDP,0.0,110000000,1,1100000000.0
127.0.0.53,127.0.0.1,53,47355,UDP,0.0,232000000,2,2320000000.0
192.168.18.1,192.168.18.20,53,46022,UDP,0.0,122000000,1,1220000000.0
127.0.0.1,127.0.0.53,46410,53,UDP,0.0,180000000,2,1800000000.0
192.168.18.20,192.168.18.1,41179,53,UDP,0.0,90000000,1,900000000.0
192.168.18.20,192.168.18.1,46226,53,UDP,0.0,90000000,1,900000000.0
192.168.18.1,192.168.18.20,53,41179,UDP,0.0,250000000,1,2500000000.0
127.0.0.53,127.0.0.1,53,46410,UDP,0.0,4520000000,2,4520000000.0
192.168.18.1,192.168.18.20,53,46226,UDP,0.0,202000000,1,2020000000.0
127.0.0.1,127.0.0.53,47427,53,UDP,0.0,1860000000,2,1860000000.0
192.168.18.20,192.168.18.1,46142,53,UDP,0.0,93000000,1,930000000.0
192.168.18.20,192.168.18.1,54092,53,UDP,0.0,93000000,1,930000000.0
192.168.18.1,192.168.18.20,53,46142,UDP,0.0,125000000,1,1250000000.0
127.0.0.53,127.0.0.1,53,47427,UDP,0.02,2740000000,2,2740000000.0
192.168.18.1,192.168.18.20,53,54092,UDP,0.0,149000000,1,1490000000.0
127.0.0.1,127.0.0.53,32863,53,UDP,0.02,176000000,2,1760000000.0
192.168.18.20,192.168.18.1,43758,53,UDP,0.0,88000000,1,880000000.0
192.168.18.1,192.168.18.20,53,43758,UDP,0.0,1040000000,1,1040000000.0
127.0.0.53,127.0.0.1,53,32863,UDP,0.01,220000000,2,2200000000.0
192.168.18.20,192.168.18.1,41996,53,UDP,0.0,88000000,1,880000000.0
